"","Province","Country","Lat","Long","1/22/20_c","1/22/20_d","1/22/20_r","1/23/20_c","1/23/20_d","1/23/20_r","1/24/20_c","1/24/20_d","1/24/20_r","1/25/20_c","1/25/20_d","1/25/20_r","1/26/20_c","1/26/20_d","1/26/20_r","1/27/20_c","1/27/20_d","1/27/20_r","1/28/20_c","1/28/20_d","1/28/20_r","1/29/20_c","1/29/20_d","1/29/20_r","1/30/20_c","1/30/20_d","1/30/20_r","1/31/20_c","1/31/20_d","1/31/20_r","2/1/20_c","2/1/20_d","2/1/20_r","2/2/20_c","2/2/20_d","2/2/20_r","2/3/20_c","2/3/20_d","2/3/20_r","2/4/20_c","2/4/20_d","2/4/20_r","2/5/20_c","2/5/20_d","2/5/20_r","2/6/20_c","2/6/20_d","2/6/20_r","2/7/20_c","2/7/20_d","2/7/20_r","2/8/20_c","2/8/20_d","2/8/20_r","2/9/20_c","2/9/20_d","2/9/20_r","2/10/20_c","2/10/20_d","2/10/20_r","2/11/20_c","2/11/20_d","2/11/20_r","2/12/20_c","2/12/20_d","2/12/20_r","2/13/20_c","2/13/20_d","2/13/20_r","2/14/20_c","2/14/20_d","2/14/20_r","2/15/20_c","2/15/20_d","2/15/20_r","2/16/20_c","2/16/20_d","2/16/20_r","2/17/20_c","2/17/20_d","2/17/20_r","2/18/20_c","2/18/20_d","2/18/20_r","2/19/20_c","2/19/20_d","2/19/20_r","2/20/20_c","2/20/20_d","2/20/20_r"
"28","Tibet","Mainland China",30.1534,88.7879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"29","Xinjiang","Mainland China",41.11981,85.17822,0,0,0,2,0,0,2,0,0,3,0,0,4,0,0,5,0,0,10,0,0,13,0,0,14,0,0,17,0,0,18,0,0,21,0,0,24,0,0,29,0,0,32,0,0,36,0,0,39,0,0,42,0,0,45,0,0,49,0,0,55,0,3,59,0,3,63,1,6,65,1,6,70,1,10,71,1,12,75,1,12,76,1,12,76,1,20,76,1,22
"30","Yunnan","Mainland China",24.97411,101.4868,1,0,0,2,0,0,5,0,0,11,0,0,16,0,0,26,0,0,44,0,0,55,0,0,70,0,0,83,0,1,93,0,2,105,0,3,117,0,5,122,0,5,128,0,5,133,0,7,138,0,12,138,0,17,141,0,18,149,0,19,153,0,20,154,0,26,156,0,27,162,0,36,168,0,42,171,0,42,171,0,47,172,0,57,172,1,60,174,2,79
"31","Zhejiang","Mainland China",29.18251,120.0985,10,0,0,27,0,0,43,0,1,62,0,1,104,0,1,128,0,1,173,0,3,296,0,3,428,0,4,538,0,14,599,0,21,661,0,32,724,0,43,829,0,62,895,0,78,954,0,94,1006,0,123,1048,0,175,1075,0,201,1092,0,242,1117,0,270,1131,0,321,1145,0,360,1155,0,403,1162,0,428,1167,0,456,1171,0,507,1172,0,535,1174,0,604,1175,1,633
"32","","Thailand",13.7563,100.5018,2,0,0,3,0,0,5,0,0,7,0,0,8,0,2,8,0,2,14,0,5,14,0,5,14,0,5,19,0,5,19,0,5,19,0,5,19,0,5,25,0,5,25,0,5,25,0,5,25,0,5,32,0,10,32,0,10,32,0,10,33,0,10,33,0,10,33,0,12,33,0,12,33,0,12,34,0,14,35,0,15,35,0,15,35,0,15,35,0,15
"33","","Japan",35.6762,139.6503,2,0,0,1,0,0,2,0,0,2,0,0,4,0,1,4,0,1,7,0,1,7,0,1,11,0,1,15,0,1,20,0,1,20,0,1,20,0,1,22,0,1,22,0,1,45,0,1,25,0,1,25,0,1,26,0,1,26,0,4,26,0,9,28,0,9,28,1,9,29,1,9,43,1,12,59,1,12,66,1,12,74,1,13,84,1,18,94,1,18
"34","","South Korea",37.5665,126.978,1,0,0,1,0,0,2,0,0,2,0,0,3,0,0,4,0,0,4,0,0,4,0,0,4,0,0,11,0,0,12,0,0,15,0,0,15,0,0,16,0,0,19,0,0,23,0,0,24,0,1,24,0,1,25,0,3,27,0,3,28,0,3,28,0,7,28,0,7,28,0,7,28,0,9,29,0,9,30,0,10,31,0,12,31,0,12,104,1,16
"35","Taiwan","Taiwan",23.6978,120.9605,1,0,0,1,0,0,3,0,0,3,0,0,4,0,0,5,0,0,8,0,0,8,0,0,9,0,0,10,0,0,10,0,0,10,0,0,10,0,0,11,0,0,11,0,0,16,0,1,16,0,1,17,0,1,18,0,1,18,0,1,18,0,1,18,0,1,18,0,1,18,0,2,18,0,2,20,1,2,22,1,2,22,1,2,23,1,2,24,1,2
"36","Seattle, WA","US",47.7511,-120.74,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"37","Chicago, IL","US",40.6331,-89.3985,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2
